Height,BlockTrust,ChainTrust
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,1,6
6,1,7
7,1,8
8,1,9
9,1,a
10,1,b
11,1,c
12,1,d
13,1,e
14,1,f
15,1,10
16,1,11
17,1,12
18,1,13
19,1,14
20,1,15
21,1,16
22,1,17
23,1,18
24,1,19
25,1,1a
26,1,1b
27,1,1c
28,1,1d
29,1,1e
30,1,1f
31,1,20
32,1,21
33,1,22
34,1,23
35,1,24
36,1,25
37,1,26
38,1,27
39,1,28
40,1,29
41,1,2a
42,1,2b
43,1,2c
44,1,2d
45,1,2e
46,1,2f
47,1,30
48,1,31
49,1,32
50,1,33
51,1,34
52,1,35
53,1,36
54,1,37
55,1,38
56,1,39
57,1,3a
58,1,3b
59,1,3c
60,1,3d
61,1,3e
62,1,3f
63,1,40
64,1,41
65,1,42
66,1,43
67,1,44
68,1,45
69,1,46
70,1,47
71,1,48
72,1,49
73,1,4a
74,1,4b
75,1,4c
76,1,4d
77,1,4e
78,1,4f
79,1,50
80,1,51
81,1,52
82,1,53
83,1,54
84,1,55
85,1,56
86,1,57
87,1,58
88,1,59
89,1,5a
90,1,5b
91,1,5c
92,1,5d
93,1,5e
94,1,5f
95,1,60
96,1,61
97,1,62
98,1,63
99,1,64
100,1,65
101,1,66
102,1,67
103,1,68
104,1,69
105,1,6a
106,1,6b
107,1,6c
108,1,6d
109,1,6e
110,1,6f
111,1,70
112,1,71
113,1,72
114,1,73
115,1,74
116,1,75
117,1,76
118,1,77
119,1,78
120,1,79
121,1,7a
122,1,7b
123,1,7c
124,1,7d
125,1,7e
126,1,7f
127,1,80
128,1,81
129,1,82
130,1,83
131,1,84
132,1,85
133,1,86
134,1,87
135,1,88
136,1,89
137,1,8a
138,1,8b
139,1,8c
140,1,8d
141,1,8e
142,1,8f
143,1,90
144,1,91
145,1,92
146,1,93
147,1,94
148,1,95
149,1,96
150,1,97
151,1,98
152,1,99
153,1,9a
154,1,9b
155,1,9c
156,1,9d
157,1,9e
158,1,9f
159,1,a0
160,1,a1
161,1,a2
162,1,a3
163,1,a4
164,1,a5
165,1,a6
166,1,a7
167,1,a8
168,1,a9
169,1,aa
170,1,ab
171,1,ac
172,1,ad
173,1,ae
174,1,af
175,1,b0
176,1,b1
177,1,b2
178,1,b3
179,1,b4
180,1,b5
181,1,b6
182,1,b7
183,1,b8
184,1,b9
185,1,ba
186,1,bb
187,1,bc
188,1,bd
189,1,be
190,1,bf
191,1,c0
192,1,c1
193,1,c2
194,1,c3
195,1,c4
196,1,c5
197,1,c6
198,1,c7
199,1,c8
